scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments
SC,51,R1,1731,C,FALSE,3,FALSE,FALSE,0,3,0,5,5,No,FALSE,5,5,FALSE,FALSE,No Card,Auto shots seemed to missed the hub
NS2,51,R3,2900,F,FALSE,,FALSE,FALSE,0,4,0,1,4,No,FALSE,6,1,FALSE,FALSE,No Card,They tried shooting but completely missed
KO,52,B3,2912,C,FALSE,,FALSE,FALSE,1,0,2,0,2,No,FALSE,,1,FALSE,FALSE,No Card,"Weak shooter, bad indexer, got stuck on OZ bump "
AZ,52,B1,3714,F,FALSE,,FALSE,FALSE,2,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,"Broken swerve, could not shoot either"
SC,52,R1,4456,C,FALSE,,FALSE,FALSE,0,5,1,0,5,No,FALSE,5,2,FALSE,FALSE,No Card,Auto only scored preload and robot didn41391t move for endgame but was not disconnected
BS,52,B2,5353,F,FALSE,3,FALSE,FALSE,0,7,1,3,0,No,FALSE,"2,6",4,FALSE,FALSE,No Card,"Their auto is not accurate at all they probably missed 92% of balls shot in auto, small hopper, tried their best to bulldoze, passed to human player alot"
BP,52,R1,2537,F,FALSE,3,FALSE,FALSE,6,4,0,4,4,No,FALSE,6,4,FALSE,FALSE,No Card,"Mostly intaked from AZ when possible, stood cycles and ok shooting"
NS2,52,R3,1389,F,FALSE,,FALSE,FALSE,0,0,4,1,8,No,FALSE,2,2,FALSE,FALSE,No Card,They did not go to neutral zone often during active period
KO,53,B3,5243,F,FALSE,,FALSE,FALSE,3,3,3,1,0,No,FALSE,,2,FALSE,FALSE,No Card,
AZ,53,B1,1727,C,FALSE,,FALSE,FALSE,4,10,0,3,8,No,FALSE,,5,FALSE,FALSE,No Card,
BS,53,R1,8590,M,FALSE,,FALSE,FALSE,2,5,1,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,"Didn41391t score at all during tele, tried their best to bulldoze but overall didn41391t contribute much to their team "
BP,53,R2,449,C,FALSE,3,FALSE,FALSE,12,4,0,6,2,No,FALSE,"2,6",4,FALSE,TRUE,No Card,"Good accuracy, bps, and quantity shot total"
NS2,52,R3,888,F,FALSE,3,FALSE,FALSE,18,4,2,5,0,No,FALSE,"1,2",5,FALSE,FALSE,No Card,They looked like they knew what they were doing
BH,53,R1,6239,M,FALSE,,FALSE,FALSE,3,3,0,0,4,No,FALSE,6,2,FALSE,FALSE,No Card,Shot from middle? 
BH,54,R1,2914,F,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,
AZ,54,B1,1446,M,FALSE,,FALSE,FALSE,7,3,0,0,0,No,FALSE,6,1,FALSE,FALSE,No Card,"Moved to neutral and didn41391t move, had trouble, potentially new driver"
BP,54,R1,4821,F,FALSE,,FALSE,FALSE,2,2,2,0,0,No,FALSE,4,2,TRUE,FALSE,No Card,"Played good defense, then got beached on bump and died"
MC,54,B3,116,F,FALSE,,FALSE,FALSE,0,0,6,3,6,L1,TRUE,6,4,FALSE,FALSE,No Card,Has huge hopper triple shooter
NS2,54,R3,2421,M,FALSE,,FALSE,FALSE,2,12,0,1,4,No,FALSE,2,1,FALSE,TRUE,No Card,They didn41391t get many fuel and idled for periods of time
BS,54,R1,5549,C,FALSE,3,FALSE,FALSE,0,3,0,2,2,No,FALSE,"1,6",4,FALSE,FALSE,No Card,"5549 is pretty good, they passed well and intaked full but compared to teams like 1731 or 888 they didn41391t score as much"
MC,55,B3,5841,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,3,FALSE,FALSE,No Card,
BH,55,R1,11318,C,FALSE,,FALSE,FALSE,3,6,0,5,2,No,FALSE,6,3,FALSE,FALSE,No Card,Only got to bulldoze once do to defense 
BP,55,R2,5587,F,FALSE,1,FALSE,FALSE,4,6,0,2,8,No,FALSE,6,3,FALSE,TRUE,No Card,Good auto for middle even though they didn41391t start there
NS2,55,R3,4638,M,FALSE,,FALSE,TRUE,2,3,3,1,2,L1,TRUE,4,4,FALSE,FALSE,No Card,They were up in their faces blocking them from scoring
AZ,55,B1,4472,F,FALSE,3,FALSE,FALSE,15,12,0,4,7,No,FALSE,,5,FALSE,TRUE,No Card,"If not for turret slight inaccuracies these robot has potential, they soloed nearly a win"
BS,55,B2,7886,C,FALSE,,FALSE,FALSE,0,8,2,0,0,No,FALSE,"4,5",5,FALSE,FALSE,No Card,"They played good defense and they also bulldozed a bit, passed to human player. I know their in contention as a third pick but I think bulldozing has a be better"
MC,56,B3,6239,F,FALSE,3,FALSE,FALSE,7,4,0,1,3,No,FALSE,"4,5",4,FALSE,FALSE,No Card,Started browning out and then just went to play defense
BH,56,R1,5243,C,FALSE,,FALSE,FALSE,3,2,1,2,0,No,FALSE,,1,FALSE,FALSE,No Card,Tried to climb in auto
BP,56,R2,3373,F,FALSE,1,FALSE,FALSE,6,0,6,2,8,No,FALSE,6,3,FALSE,FALSE,No Card,Decent fire rate but intake speed and throughput are low
BS,56,R1,2186,C,FALSE,,FALSE,FALSE,2,5,0,1,7,L1,FALSE,2,4,TRUE,FALSE,No Card,"Died once and came back to life, decent bulldozing, only made about 50 percent of their hopper each time they shot,climb when there was about 15 secs left"
AZ,56,B1,1389,C,FALSE,,TRUE,FALSE,2,0,6,4,5,No,FALSE,6,4,FALSE,FALSE,No Card,"Got stuck on bump during auto, fastest indexing I41391ve seen, low accuracy for turret, large hopper capacity but risk of beaching or getting stuck on the bump during crucial auto"
NS2,56,R3,888,F,FALSE,3,FALSE,FALSE,13,9,1,4,0,No,FALSE,6,3,FALSE,FALSE,No Card,They shot while being pushed and mostly didn41391t get moved. They didn41391t do any defense. 
BH,57,R1,11211,F,TRUE,,FALSE,FALSE,0,1,0,0,0,No,FALSE,,2,FALSE,FALSE,No Card,Defense and bot is super slow 
BS,57,B2,449,C,FALSE,3,FALSE,FALSE,12,3,0,4,5,No,FALSE,6,5,FALSE,FALSE,No Card,
BP,57,R2,4464,M,FALSE,,FALSE,FALSE,0,3,5,0,6,No,FALSE,"6,4,5",2,TRUE,FALSE,No Card,"Did a bit of everything, wasn41391t particularly effective"
NS2,57,R3,5338,C,FALSE,3,FALSE,FALSE,13,9,0,5,4,No,FALSE,"2,6",4,FALSE,TRUE,No Card,They41391re good on the offense and getting cycles in. Didn41391t focus on any defense only intaking and occasionally bulldozing.
AZ,57,B1,5549,F,FALSE,3,FALSE,FALSE,11,10,0,4,6,No,FALSE,1,3,FALSE,FALSE,No Card,"Had a lot of trouble shooting, spent multiple seconds to shot out the hopper, movement is ok but not amazing, worried that it takes too long to get inertia "
MC,57,B3,2912,,FALSE,2,FALSE,FALSE,2,2,2,0,5,No,FALSE,5,3,FALSE,FALSE,No Card,Got stuck on the bump for more than half of the match
AD,58,B3,11318,C,FALSE,1,FALSE,FALSE,14,12,0,5,8,No,FALSE,"2,4,6",5,FALSE,FALSE,No Card,"Very good bulldozer, stockpiled lots of balls"
BS,58,R1,2914,F,FALSE,,FALSE,FALSE,0,2,0,0,0,No,FALSE,,3,TRUE,FALSE,No Card,"Did nothing during auto, hopper is extremely small (could probably only fit 2-4 balls), did nothing during tele and then died. "
AZ,58,B1,11318,C,FALSE,1,FALSE,FALSE,8,12,0,5,7,No,FALSE,"2,5",5,FALSE,FALSE,No Card,"Good mobility, small hopper, good driving"
BP,58,R2,4821,M,FALSE,,FALSE,FALSE,2,2,4,1,1,No,FALSE,"4,6",3,FALSE,FALSE,No Card,"Mostly defensive, shots came up short, but defense was respectable "
EC,58,R1,2988,C,FALSE,,TRUE,FALSE,10,4,1,3,3,No,FALSE,6,2,FALSE,TRUE,No Card,Intake slow and prone to temporary jams; inconsistent fire rate
NS2,58,R3,4456,F,FALSE,,FALSE,FALSE,2,7,3,2,7,No,FALSE,"2,6,4",2,FALSE,TRUE,No Card,Big hopper. Most of their shoots didn41391t make it. Cleanly went over bumps
EC,59,R1,122,M,FALSE,,FALSE,FALSE,7,0,2,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,Just drove around never shot during teleop
BP,59,R2,1727,F,FALSE,3,FALSE,FALSE,7,7,0,4,2,No,FALSE,6,4,FALSE,TRUE,No Card,"Good hopper capacity, inactive shifts aren41391t optimized "
NS2,59,R3,5353,C,FALSE,3,FALSE,FALSE,12,9,3,1,0,No,FALSE,"2,4",4,FALSE,FALSE,No Card,They maneuvered very cleanly  and they didn41391t shoot much. They focused heavily on defens.  
AD,59,B3,1446,F,FALSE,,FALSE,FALSE,0,10,3,0,0,No,FALSE,2,2,FALSE,FALSE,No Card,"Had shooter, but didn41391t shoot. Prob broken. Tank drive"
AZ,59,B1,4472,C,FALSE,3,FALSE,FALSE,13,3,1,1,0,No,FALSE,1,4,FALSE,FALSE,No Card,"Intake is having issues, hopper plate broke off, tried to move balls to HP but was unsuccessful, big issues "
BS,59,R1,4638,M,FALSE,,FALSE,TRUE,0,3,4,0,1,F,FALSE,4,3,FALSE,FALSE,No Card,"Played decent defense towards the start of the match but overall didn41391t contribute much, only made like 2 balls the whole match. They41391re consistently climbing in auto but failing in end game "
EC,60,R1,2537,F,FALSE,3,FALSE,FALSE,10,6,0,6,0,No,FALSE,1,3,FALSE,FALSE,No Card,Struggles under defensive pressure
BS,60,R1,6882,F,FALSE,,FALSE,FALSE,4,4,3,1,4,No,FALSE,2,3,FALSE,FALSE,No Card,
AZ,60,B1,116,C,FALSE,,FALSE,FALSE,1,0,6,3,7,No,FALSE,,4,FALSE,FALSE,No Card,"Stuck balls between hopper wall and intake easy breaks the hopper is big and the shoot abilities are overall limited, triple shooter but not hooded so accuracy is not ideal"
BP,60,R2,5587,M,FALSE,,FALSE,FALSE,3,6,0,2,7,No,FALSE,6,3,FALSE,FALSE,No Card,Sometimes inaccurate an imprecise
NS2,60,R3,1731,C,FALSE,3,FALSE,FALSE,20,4,2,2,0,No,FALSE,6,4,FALSE,FALSE,No Card,Seemed like swerve was browning out in endgame. They had good movement
AD,60,B3,3714,M,FALSE,,FALSE,FALSE,5,0,2,0,0,No,FALSE,4,1,FALSE,FALSE,No Card,"Tilted upward a lot when accelerating or turning, made them beach on fuel when driving in straight line."
EC,61,R1,5841,M,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,"Seems to be broken, minimal movement"
Bp,61,R2,5243,F,FALSE,,FALSE,FALSE,2,1,1,0,3,No,FALSE,,1,TRUE,FALSE,No Card,Battery fell out
AZ,61,B1,7886,C,FALSE,,FALSE,FALSE,1,8,4,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,"Was blocking their oneness alliance, blocking opponents during their own active period, not enough weight to push others, got beached on fuel"
NS2,61,R3,4456,F,FALSE,,FALSE,FALSE,1,1,1,1,3,No,FALSE,,2,TRUE,TRUE,No Card,They preferred not going into. neutralzone 
AD,61,B3,11211,F,FALSE,,FALSE,FALSE,0,6,0,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,Shoooter broken?
BS,61,R1,8590,M,FALSE,,FALSE,FALSE,5,6,0,0,0,No,FALSE,2,4,FALSE,FALSE,No Card,"Pretty good bulldozing, no shooter, considering the fact that they couldnt shoot their defense and bulldozing should have been a lot better than it was."
EC,62,R1,888,F,FALSE,3,FALSE,FALSE,20,6,7,4,5,No,FALSE,,3,FALSE,TRUE,No Card,Missed a surprising amount. Under severe defense pressure though
BP,62,R2,4638,M,FALSE,,FALSE,FALSE,0,4,0,1,7,L1,FALSE,"3,4",2,FALSE,FALSE,No Card,"Failed auto climb, successful in endgame"
NS2,62,R3,4464,M,FALSE,,FALSE,FALSE,1,3,1,0,7,No,FALSE,2,2,FALSE,FALSE,No Card,Their swerve was broken at the endgame
AD,62,B3,4821,M,FALSE,,FALSE,FALSE,5,8,1,1,0,No,FALSE,,3,FALSE,FALSE,No Card,
AZ,62,B1,2900,F,FALSE,,FALSE,FALSE,3,9,0,1,6,No,FALSE,,2,FALSE,FALSE,No Card,"Did not shoot or have good intake, it has open hopper but also blocked alliance members "
BS,62,R1,5338,C,FALSE,3,FALSE,FALSE,6,2,2,4,4,No,FALSE,"2,6",5,FALSE,FALSE,No Card,"Scored basically all of their teams fuel, very good. bulldozing, overall areally impressive performance considering they were basically 1v3ing in terms of scoring"
AZ,63,B1,2186,C,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,Robot barely moved
EC,63,R1,2914,M,FALSE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,Didn41391t move at all
AD,63,B3,1727,F,FALSE,3,FALSE,FALSE,6,4,2,3,2,No,FALSE,6,4,TRUE,FALSE,No Card,Died during the last teleop shift
BP,63,R2,1389,F,FALSE,3,TRUE,FALSE,3,0,2,2,4,No,FALSE,"6,2",3,FALSE,FALSE,No Card,"Indexing is inconsistent, jams frequently "
BS,63,R1,1446,M,FALSE,,FALSE,FALSE,0,2,2,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,"No shooting, pretty bad bulldozing, both teammates died"
NS2,63,R3,1731,C,FALSE,3,FALSE,FALSE,20,9,1,7,5,No,FALSE,"2,6,5",5,FALSE,FALSE,No Card,Had clean maneuvers around the neutral zone. Good defense the neutral. They were able to get many cycles and had a high output. 
BP,64,R2,6239,C,FALSE,3,FALSE,FALSE,3,0,0,0,0,No,FALSE,TRUE,1,TRUE,FALSE,,
NS2,64,R3,2421,F,FALSE,,FALSE,FALSE,2,4,0,2,0,No,FALSE,"2,6",1,FALSE,FALSE,No Card,They were moving very clumsy and swerve might have been bad
EC,64,R1,6882,M,FALSE,,FALSE,FALSE,8,3,1,3,5,No,FALSE,2,3,FALSE,TRUE,No Card,No functional intake? They ram against the wall to get fuel in hopper
BS,64,B2,449,,FALSE,,FALSE,FALSE,0,3,0,2,7,No,FALSE,"2,6",5,FALSE,FALSE,No Card,Our auto didn41391t worked this time and I think our intake came off. Still won tho
AD,64,B3,3714,M,FALSE,,FALSE,FALSE,5,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,"Died, came alive for a second, then got stuck on bump"
AZ,64,B1,2988,,FALSE,,FALSE,FALSE,0,6,0,1,7,No,FALSE,,3,FALSE,FALSE,No Card,
BS,65,R1,5841,,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,Was the only one consistently putting up fuel
AZ,65,B1,116,C,FALSE,,FALSE,FALSE,0,0,6,4,7,L1,TRUE,,3,FALSE,TRUE,No Card,Was the only one consistently putting up fuel
AD,65,B3,8590,M,FALSE,,FALSE,FALSE,4,11,0,0,0,No,FALSE,"2,4,5",3,FALSE,FALSE,No Card,
EC,65,R1,5548,F,FALSE,3,FALSE,FALSE,6,0,1,1,0,No,FALSE,2,4,TRUE,TRUE,No Card,Stopped moving early on
NS2,65,R3,5353,C,FALSE,3,FALSE,FALSE,20,4,0,5,4,No,FALSE,2,5,FALSE,FALSE,No Card,They move quickly and they41391re able to get a lot of cycles. They have a small hopper.
BP,65,R2,11318,M,FALSE,,FALSE,FALSE,3,8,0,3,5,No,FALSE,"4,6,2",4,FALSE,TRUE,Yellow Card,Launch angle for balls was too long
EC,66,R1,5587,F,FALSE,,FALSE,FALSE,15,3,1,3,6,No,FALSE,"2,6",3,FALSE,TRUE,No Card,Visually wobbly 
BS,66,B2,3373,M,TRUE,,FALSE,FALSE,0,0,4,2,0,No,FALSE,6,4,FALSE,FALSE,No Card,
AD,66,B3,2537,C,FALSE,"1,3",FALSE,FALSE,15,10,0,5,3,No,FALSE,"2,1,6",4,FALSE,TRUE,No Card,
AZ,66,B1,7886,F,FALSE,,FALSE,FALSE,0,3,5,0,0,No,FALSE,2,3,FALSE,FALSE,No Card,"Beaching, no shooting, defensive bot HP feeding"
NS2,66,R3,2912,M,FALSE,,FALSE,FALSE,0,0,3,0,2,No,FALSE,4,1,FALSE,FALSE,No Card,They were died for a minute. They don41391t move cleanly 
BP,66,R2,4472,C,FALSE,3,FALSE,FALSE,3,6,1,3,8,No,FALSE,"4,6",3,FALSE,TRUE,No Card,"Some volleys were completely off, most were good"
