scout,match,robot,team,start_pos,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,problems,card,comments,,
CC,9,B3,888,F,3,FALSE,FALSE,10,5,0,4,6,No,FALSE,6,4,,No Card,,,
JD,9,R2,5338,F,3,FALSE,FALSE,6,3,2,2,2,No,FALSE,2,4,4,No Card,,,
AM,9,R3,3136,C,3,TRUE,FALSE,13,4,0,0,8,No,FALSE,"2,6",4,,No Card,Shooter stopped working. ,,
BP,9,B1,2377,C,,FALSE,FALSE,0,4,0,7,0,No,FALSE,"2,6",3,,No Card,Small hopper makes unnecessary cycle counts and wasted time,,
AZ,9,B2,339,,,FALSE,TRUE,7,10,0,1,0,No,FALSE,2,2,,No Card,"No intaking, broken driving",,
CL,11,R2,1389,M,,TRUE,FALSE,0,0,0,1,0,No,FALSE,1,3,1,No Card,Died for 95 percent of match,,
CC,12,B3,5587,M,,FALSE,FALSE,2,0,0,0,0,No,FALSE,,1,,No Card,Ded,,
AM,12,R3,2890,C,2,FALSE,FALSE,3,0,6,2,0,No,FALSE,"2,6",4,,No Card,,,
CL,12,R2,2199,C,3,FALSE,FALSE,5,0,0,0,0,No,FALSE,,3,1,No Card,Stopped moving after auto,,
BP,12,B1,122,C,,TRUE,FALSE,10,9,1,4,4,No,FALSE,"2,6",3,,No Card,Scored a lot but over shot a lot as well,,
SBS,12,R1,10224,F,3,TRUE,FALSE,3,2,0,3,2,No,FALSE,6,3,,No Card,Really top heavy,,
AZ,12,B2,5549,F,3,TRUE,FALSE,6,0,1,0,0,No,FALSE,,2,"4,1",No Card,"Really cool auto but died right into tele, may have had something to do with the bump that they bot stuck on.",,
AM,13,R3,1111,M,,FALSE,FALSE,0,3,1,2,7,No,FALSE,"2,6",3,,No Card,,,
SBS,13,R1,11318,F,3,FALSE,FALSE,3,8,0,4,2,No,FALSE,3,3,,No Card,,,
BP,13,B1,686,F,3,FALSE,FALSE,10,8,0,1,0,No,FALSE,2,2,,No Card,"Either intake or shooter broke, and they didn41391t shoot",,
CL,13,R2,619,C,3,FALSE,FALSE,14,3,0,4,7,No,FALSE,"2,1,6",4,,No Card,,,
CC,13,B3,422,C,3,FALSE,FALSE,20,3,1,4,0,No,FALSE,"1,2,6",4,,No Card,,,
AD,13,B2,3258,M,,FALSE,FALSE,0,1,0,0,0,No,FALSE,5,2,,No Card,"Intake jammed then unjammed, never shot",,
AM,14,R3,346,C,,FALSE,FALSE,0,0,5,2,6,No,FALSE,6,4,,No Card,Shooter inconsistent ,,
JD,14,R2,3748,F,3,FALSE,FALSE,7,7,0,5,4,No,FALSE,"1,2",4,,No Card,,,
AW,14,B3,1908,F,3,FALSE,FALSE,13,6,2,7,5,No,FALSE,"6,3",4,2,No Card,,,
AZ,14,B2,620,M,,FALSE,FALSE,2,0,6,3,8,No,FALSE,6,4,,No Card,No auto movement,,
BP,14,B1,10679,C,,FALSE,FALSE,0,5,1,0,0,No,FALSE,"4,2",2,4,No Card,Did decent defense but not great,,
SBS,14,R1,2421,M,,FALSE,FALSE,0,6,0,1,0,No,FALSE,"2,4",5,,No Card,Great defense again but the bot doesn41391t do anything,,
AW,15,B3,614,C,3,TRUE,FALSE,7,0,6,5,3,No,FALSE,"1,6",3,,No Card,,,
AM,15,R3,3136,C,3,TRUE,FALSE,10,4,1,3,5,No,FALSE,"2,6",2,,No Card,,,
SBS,15,R1,888,F,3,FALSE,FALSE,15,8,0,1,5,No,FALSE,,4,1,No Card,Got rammed into corner in OZ,,
