alliance,C,FP,SP
Alliance 1,449,836,5549
Alliance 2,4099,9072,1727
Alliance 3,1908,686,614
Alliance 4,5338,2106,2199
Alliance 5,11415,3136,1086
Alliance 6,619,346,401
Alliance 7,1731,422,8592
Alliance 8,540,1629,122
