"scout","match","robot","team","start_pos","auto_type","auto_bump","auto_climb","auto_cycles","teleop_trench","teleop_bump","num_cycles","num_cycles_tenths","endgame_climb","climb_less_than_5","inactive_strat","driver_rating","problems","card","comments","auto_climb.1","endgame_climb.1"
"FL",4,"R1",1756,"M",31,FALSE,FALSE,0,4,6,5,5,"No",FALSE,236,4,"6","No Card","Might41391ve missed auto? I swear they did left trench tho",NA,NA
"HR",4,"R2",3931,"F",3,TRUE,FALSE,8,5,2,3,0,"No",FALSE,316,3,NA,"No Card","Auto got stuck on its second pass, They were defended, and had some trouble going under the tower.",NA,NA
"CR",4,"R3",1816,"C",5,FALSE,FALSE,10,5,3,4,0,"No",FALSE,6,3,NA,"No Card",NA,NA,NA
"AZ",5,"B1",4607,"C",3,FALSE,FALSE,4,8,0,4,0,"No",FALSE,1,5,NA,"No Card","Double turret,",NA,NA
"BP",5,"B2",8119,"F",5,FALSE,FALSE,8,7,3,4,8,"No",FALSE,NA,3,NA,"No Card",NA,NA,NA
"LJ",5,"B3",4125,"M",NA,FALSE,FALSE,0,5,1,0,1,"No",FALSE,134,4,NA,"No Card","Had some good blocks. stopping opponents from going from NZ toOZ, filled hopper in OZ and has almost full field passing from edge of NZ. Shooter seemed to jam a bit for last cycle in end game",NA,NA
"FL",5,"R1",2556,"M",1,FALSE,FALSE,7,3,1,1,5,"No",FALSE,61,3,"32","No Card","Completely shutdown by 4125 def",NA,NA
"HR",5,"R2",364,"C",5,FALSE,FALSE,0,2,1,2,0,"No",FALSE,61,3,"17","No Card","Turret did not turn, so they a stopped, eventually died in neutral zone",NA,NA
"CR",5,"R3",2468,"F",34,TRUE,FALSE,15,6,5,9,0,"No",FALSE,13,5,NA,"No Card","Passed over bump",NA,NA
"AZ",6,"B1",3937,"C",3,TRUE,FALSE,0,8,4,5,6,"No",FALSE,134,4,NA,"No Card","Turret robot  insufficient defense but good attempt",NA,NA
"BP",6,"B2",6985,"F",6,TRUE,FALSE,10,0,16,4,3,"No",FALSE,246,2,"3","No Card","A lot of unnecessary crossings, big hopper but only single stream",NA,NA
"LJ",6,"B3",10034,"M",1,FALSE,FALSE,1,0,6,0,0,"No",FALSE,216,3,NA,"No Card","Did not actually intake anything from depot, but moved towards it. Intake is really really slow, struggled to fill at all. Very mobile, did many small herds through trench and over bump. Passing was high arc and very close to AZ",NA,NA
"FL",6,"R1",2393,"M",NA,FALSE,FALSE,8,6,0,4,7,"No",FALSE,16,4,NA,"No Card","Good",NA,NA
"HR",6,"R2",3501,"C",6,TRUE,FALSE,15,0,8,5,4,"No",FALSE,16,4,NA,"No Card","High throuput",NA,NA
"CR",6,"R3",4655,"F",34,TRUE,FALSE,13,12,0,2,0,"No",FALSE,1346,5,NA,"No Card","Passed from OZ, driver immediately noticed when intake broke",NA,NA
