scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments,,,,,,
SBS,6,R2,2377,M,FALSE,1,FALSE,FALSE,5,2,0,1,4,No,FALSE,2,3,FALSE,FALSE,No Card,,,,,,,
BP,6,B1,5243,M,FALSE,,FALSE,FALSE,0,6,0,0,1,F,FALSE,5,2,FALSE,FALSE,No Card,Struggling to intake and shoot. Kept going to NZ but not being able to get balls,,,,,,
CC,7,R3,2028,C,FALSE,2,FALSE,FALSE,1,0,2,1,5,No,FALSE,"1,2",3,FALSE,TRUE,No Card,,,,,,,
CR,7,B2,620,M,FALSE,,TRUE,FALSE,0,0,2,0,0,No,FALSE,"5,2",5,FALSE,FALSE,No Card,,,,,,,
AM,7,R1,3359,M,FALSE,,FALSE,FALSE,0,0,1,0,0,No,FALSE,5,1,FALSE,FALSE,No Card,Nonexistent hopper. ,,,,,,
SBS,7,R2,611,F,FALSE,3,TRUE,FALSE,0,0,3,0,3,No,FALSE,5,4,FALSE,FALSE,No Card,Weird jittery movement then gave up on pieces for defense,,,,,,
BH,7,B3,10449,C,FALSE,,FALSE,FALSE,2,1,0,1,0,No,FALSE,,2,FALSE,FALSE,No Card,,,,,,,
BP,7,B1,3373,F,FALSE,,FALSE,FALSE,0,0,4,1,7,No,FALSE,6,3,FALSE,TRUE,No Card,"Low shot angle, many balls bounced off",,,,,,
AM,8,R1,2363,F,FALSE,3,FALSE,FALSE,0,0,0,7,5,No,FALSE,"2,6",5,FALSE,FALSE,No Card,Small hopper,,,,,,
CR,8,B2,2988,F,FALSE,,FALSE,FALSE,0,1,0,1,0,No,FALSE,,3,FALSE,FALSE,No Card,,,,,,,
CC,8,R3,2068,M,FALSE,,FALSE,FALSE,4,1,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,,,,,,,
SBS,8,R2,1885,C,FALSE,3,FALSE,FALSE,2,0,0,0,0,No,FALSE,,1,TRUE,FALSE,No Card,Died really early in NZ,,,,,,
BH,8,B3,612,M,FALSE,3,FALSE,FALSE,0,0,2,0,2,No,FALSE,,1,FALSE,FALSE,No Card,Beached on balls after going over bump shooting extremely inconsistent intake very slow.,,,,,,
BP,8,B1,4099,C,FALSE,,TRUE,FALSE,10,6,0,2,8,F,FALSE,6,1,FALSE,TRUE,No Card,Good shooting,,,,,,
CC,9,R3,1908,C,FALSE,3,FALSE,FALSE,13,6,2,4,2,No,FALSE,,5,FALSE,TRUE,Yellow,,,,,,,
AM,9,R1,6882,M,FALSE,,FALSE,FALSE,2,0,3,1,0,No,FALSE,6,3,FALSE,FALSE,No Card,Got stuck on bump,,,,,,
CR,9,B2,122,C,FALSE,,FALSE,FALSE,5,0,2,1,0,No,FALSE,"1,6",3,TRUE,FALSE,No Card,,,,,,,
BH,9,B3,3258,M,FALSE,3,FALSE,FALSE,0,0,3,2,0,No,FALSE,,3,FALSE,FALSE,No Card,Temp beached on third go around,,,,,,
BP,9,B1,116,F,TRUE,,FALSE,FALSE,0,0,0,0,0,No,FALSE,,1,FALSE,FALSE,No Card,,,,,,,
