"team","auto_fuel","tele_fuel"
116,14.6100944939576,36.7904538722306
122,14.7032883501451,51.0527554813113
449,14.9133756563463,44.1207108063985
526,14.7645308670681,40.6962804207485
539,15.628907211799,44.5799620824717
611,13.0419879653386,44.783712195381
612,13.1492209735421,44.3006148644068
620,13.1753323831127,55.5412502779962
1731,12.9541882834016,51.9740744673193
1793,15.2399714270927,51.9532825441443
1885,14.3343397663213,61.5256371614858
1895,15.4040885801872,43.9037453509872
1908,13.9531477815728,45.6153605518155
2028,13.6453776840082,52.570117964808
2068,13.1513359449093,48.058031088707
2186,14.2746973718848,43.4968186051172
2363,14.4880447462398,54.4255145588754
2377,13.7125412123986,55.9127743487032
2534,13.7866822744582,58.6544307087019
2890,14.1264818803351,34.1131387417308
2963,14.8677219752622,53.8760272860716
2988,14.7753453203069,49.75258422058
3136,13.007166626823,42.1112867001284
3258,14.2143345858789,61.9443703377356
3359,13.4094480204968,44.3806515450789
3373,14.0646730800771,47.6728533984845
4099,13.6455065222405,47.7474166973682
4472,14.5127727675976,48.2784043957206
4638,14.4777830037867,43.5807982278189
5243,13.6353640502933,62.969910390654
5338,14.3465119941967,42.0839844564406
5353,14.2077646874825,56.3969837519608
5549,11.4360939346731,59.5637685340134
5587,13.528379917071,36.7439529190512
6882,14.8426746414411,45.0023535641776
8230,14.425810889713,53.4281287810923
8326,13.2833213347481,36.0636155974686
9072,15.0264702843344,46.3180486303843
9403,14.5819355392192,47.3795396306767
10449,13.671143113096,37.9324659493785
