"","team"
"1",116
"2",122
"3",449
"4",526
"5",539
"6",611
"7",612
"8",620
"9",1731
"10",1793
"11",1885
"12",1895
"13",1908
"14",2028
"15",2068
"16",2186
"17",2363
"18",2377
"19",2534
"20",2890
"21",2963
"22",2988
"23",3136
"24",3258
"25",3359
"26",3373
"27",4099
"28",4472
"29",4638
"30",5243
"31",5338
"32",5353
"33",5549
"34",5587
"35",6882
"36",8230
"37",8326
"38",9072
"39",9403
"40",10449
