scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,card,comments,problems
BH,7,B3,10449,C,FALSE,NA,FALSE,FALSE,2,1,0,1,0,No,FALSE,NA,2,FALSE,FALSE,No Card,NA,0
BP,7,B1,3373,F,FALSE,NA,FALSE,FALSE,0,0,4,1,7,No,FALSE,6,3,FALSE,TRUE,No Card,"Low shot angle, many balls bounced off",0
AM,8,R1,2363,F,FALSE,3,FALSE,FALSE,0,0,0,7,5,No,FALSE,26,5,FALSE,FALSE,No Card,Small hopper,0
CR,8,B2,2988,F,FALSE,NA,FALSE,FALSE,0,1,0,1,0,No,FALSE,NA,3,FALSE,FALSE,No Card,NA,0
CC,8,R3,2068,M,FALSE,NA,FALSE,FALSE,4,1,0,0,0,No,FALSE,NA,1,TRUE,FALSE,No Card,NA,0
SBS,8,R2,1885,C,FALSE,3,FALSE,FALSE,2,0,0,0,0,No,FALSE,NA,1,TRUE,FALSE,No Card,Died really early in NZ,0
BH,8,B3,612,M,FALSE,3,FALSE,FALSE,0,0,2,0,2,No,FALSE,NA,1,FALSE,FALSE,No Card,Beached on balls after going over bump shooting extremely inconsistent intake very slow.,0
BP,8,B1,4099,C,FALSE,NA,TRUE,FALSE,10,6,0,2,8,F,FALSE,6,1,FALSE,TRUE,No Card,Good shooting,0
CC,9,R3,1908,C,FALSE,3,FALSE,FALSE,13,6,2,4,2,No,FALSE,NA,5,FALSE,TRUE,Yellow,NA,0
AM,9,R1,6882,M,FALSE,NA,FALSE,FALSE,2,0,3,1,0,No,FALSE,6,3,FALSE,FALSE,No Card,Got stuck on bump,0
CR,9,B2,122,C,FALSE,NA,FALSE,FALSE,5,0,2,1,0,No,FALSE,16,3,TRUE,FALSE,No Card,NA,0
BH,9,B3,3258,M,FALSE,3,FALSE,FALSE,0,0,3,2,0,No,FALSE,NA,3,FALSE,FALSE,No Card,Temp beached on third go around,0
BP,9,B1,116,F,TRUE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
SBS,9,R2,9403,F,FALSE,NA,FALSE,FALSE,0,4,0,0,3,No,FALSE,NA,1,FALSE,FALSE,No Card,Intake broke,0
AM,10,R1,9072,F,FALSE,NA,FALSE,FALSE,0,8,1,3,7,No,FALSE,126,5,FALSE,FALSE,No Card,Double turret unreliable sometimes.,0
CR,10,B2,8326,M,FALSE,NA,FALSE,FALSE,5,0,2,0,1,No,FALSE,1,3,FALSE,FALSE,No Card,NA,0
CC,10,R3,2186,C,FALSE,NA,FALSE,FALSE,2,0,0,0,1,No,FALSE,2,1,FALSE,FALSE,No Card,NA,0
BH,10,B3,2890,F,FALSE,3,FALSE,FALSE,2,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,Did41391t really do much,0
BP,10,B1,4638,C,FALSE,1,FALSE,TRUE,0,4,1,0,1,F,FALSE,45,3,FALSE,FALSE,No Card,Shooter fell off but pretty good defense,0
SBS,10,R2,5243,M,FALSE,NA,FALSE,FALSE,0,1,1,1,6,L1,FALSE,2,2,FALSE,FALSE,No Card,Auto spin :),0
AM,11,R1,1895,M,FALSE,NA,FALSE,FALSE,0,9,0,3,5,No,FALSE,26,5,FALSE,FALSE,No Card,NA,0
CR,11,B2,620,M,FALSE,NA,FALSE,FALSE,5,5,0,0,0,No,FALSE,25,4,FALSE,FALSE,No Card,NA,0
CC,11,R3,3373,C,FALSE,NA,FALSE,FALSE,0,0,0,0,7,No,FALSE,2,1,FALSE,FALSE,No Card,NA,0
BH,11,B3,526,F,FALSE,3,FALSE,FALSE,3,4,0,2,0,No,FALSE,NA,4,FALSE,FALSE,No Card,VERY consistent shooting though rather slow,0
MH,11,R2,2963,F,FALSE,NA,FALSE,FALSE,0,2,1,0,5,No,FALSE,12,2,FALSE,FALSE,No Card,"didn?t really know where they were going, really struggled crossing the bump and got caught on the depot metal, hole in the bumper intake and shooter perpetually on???",0
BP,11,B1,1793,C,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,TRUE,FALSE,No Card,Died at the start. Appeared to be trying to move slightly but didn't work,0
AM,12,R1,5353,F,FALSE,NA,FALSE,FALSE,10,7,1,5,8,No,FALSE,26,4,FALSE,FALSE,No Card,Smallish hopper,0
CC,12,R3,5353,F,FALSE,NA,FALSE,FALSE,0,4,0,2,9,No,FALSE,2,4,FALSE,TRUE,No Card,NA,0
BP,12,B3,3359,F,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,NA,0
CR,12,B2,2534,C,FALSE,NA,FALSE,FALSE,0,3,0,0,2,No,FALSE,2,4,FALSE,FALSE,No Card,Intake barely remained functional,0
BP,12,B1,8230,M,FALSE,NA,FALSE,FALSE,1,0,13,0,5,No,FALSE,46,3,FALSE,FALSE,No Card,NA,0
HR,12,R2,539,M,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,No Card,"Their shooter or intake was. Probably malfunctioning, they did not leave alliance zone or shot on target",0
KO,13,B3,5549,C,FALSE,3,FALSE,FALSE,6,8,0,0,0,No,FALSE,6,3,FALSE,FALSE,No Card,"Played defense most of the match, foul?",0
CC,13,R3,4472,M,FALSE,NA,FALSE,FALSE,3,1,0,3,0,No,FALSE,2,3,FALSE,TRUE,No Card,NA,0
AM,13,R1,449,C,FALSE,NA,FALSE,FALSE,0,8,0,1,4,No,FALSE,54126,5,FALSE,FALSE,No Card,NA,0
CR,13,B2,1731,F,FALSE,3,FALSE,FALSE,0,6,0,6,0,No,FALSE,612,5,FALSE,FALSE,No Card,NA,0
HR,13,R2,3136,F,FALSE,3,FALSE,FALSE,10,5,0,3,8,No,FALSE,16,4,FALSE,FALSE,No Card,NA,0
BP,13,B1,611,M,FALSE,1,FALSE,FALSE,0,0,5,0,4,No,FALSE,56,2,FALSE,FALSE,No Card,NA,0
AM,14,R1,2988,M,FALSE,NA,FALSE,FALSE,7,8,0,1,3,No,FALSE,162,3,FALSE,FALSE,No Card,No accuracy,0
MY,14,R3,4638,C,FALSE,2,FALSE,FALSE,0,8,2,0,0,No,FALSE,142,3,FALSE,FALSE,No Card,"Liked I taking to hp, no shooting",0
CR,14,B2,5338,F,FALSE,3,FALSE,FALSE,3,4,0,2,3,No,FALSE,26,4,FALSE,FALSE,No Card,Hopper flexed,0
NS,14,B3,2028,C,FALSE,NA,FALSE,FALSE,0,0,6,0,0,L1,TRUE,12,3,FALSE,FALSE,No Card,Got stuck on  bump mimentariky,0
BP,14,B1,10449,M,FALSE,NA,FALSE,FALSE,0,4,0,0,1,No,FALSE,5,2,FALSE,FALSE,No Card,Was41391t shooting,0
RY,14,R2,2377,F,FALSE,NA,FALSE,FALSE,4,1,2,2,3,No,FALSE,16,3,FALSE,FALSE,No Card,Had some problems with turret shooting,0
CR,15,B2,2363,C,FALSE,3,FALSE,FALSE,0,4,0,5,0,No,FALSE,26,5,FALSE,FALSE,No Card,NA,0
