alliance,C,FP,SP
Alliance 1,9072,1908,2068
Alliance 2,5338,1731,539
Alliance 3,2377,4099,1895
Alliance 4,4472,449,8230
Alliance 5,5549,5243,122
Alliance 6,3258,611,5353
Alliance 7,4638,2363,2890
Alliance 8,526,620,3136
