"","key","pct_imp","lambda_opt","address","city","country","end_date","event_code","event_type","event_type_string","first_event_code","first_event_id","gmaps_place_id","gmaps_url","lat","lng","location_name","name","parent_event_key","playoff_type","playoff_type_string","postal_code","short_name","start_date","state_prov","timezone","website","week","year","abbreviation","display_name","key2","pridge_mse"
"1086","2024onnob",8.59364398261515,4.16416416416416,"Robert J. Surtees Athletics Centre 100 College Drive","North Bay","Canada","2024-03-24","onnob",1,"District","onnob",NA,NA,NA,NA,NA,"Nipissing University","ONT District North Bay Event",NA,10,"Double Elimination Bracket (8 Alliances)","P1B 8L7","North Bay","2024-03-22","ON","America/Toronto","https://www.firstroboticscanada.org",3,2024,"ont","FIRST Canada - Ontario","2024ont",135.717397702403
"1087","2024onosh",10.5236509293478,6.16616616616617,"2000 Simcoe St N, Oshawa","Oshawa","Canada","2024-03-17","onosh",1,"District","onosh",NA,NA,NA,NA,NA,"Durham College","ONT District Durham College Event",NA,10,"Double Elimination Bracket (8 Alliances)","L1G 0C5","Durham College","2024-03-15","ON","America/Toronto","https://www.firstroboticscanada.org",2,2024,"ont","FIRST Canada - Ontario","2024ont",181.080586002694
"1088","2024onsca",8.51773481388807,4.22422422422422,"941 Progress Ave.","Scarborough","Canada","2024-03-10","onsca",1,"District","onsca",NA,NA,NA,NA,NA,"Centennial College","ONT District Centennial College Event",NA,10,"Double Elimination Bracket (8 Alliances)","M1G 3T8","Centennial College","2024-03-08","ON","America/Toronto","https://www.firstroboticscanada.org",1,2024,"ont","FIRST Canada - Ontario","2024ont",103.007692036589
"1089","2024ontor",8.94419838609561,4.18418418418418,"North Athletic Centre Building A 205 Humber College Blvd","Toronto","Canada","2024-03-20","ontor",1,"District","ontor",NA,NA,NA,NA,NA,"Humber College","ONT District Humber College Event",NA,10,"Double Elimination Bracket (8 Alliances)","M9W 5L7","Humber College","2024-03-18","ON","America/Toronto","https://www.firstroboticscanada.org",3,2024,"ont","FIRST Canada - Ontario","2024ont",188.246694483906
"1090","2024onwat",7.65803838536574,3.5035035035035,"PAC - Physical Activities Complex 200 University Avenue West","Waterloo","Canada","2024-03-23","onwat",1,"District","onwat",NA,NA,NA,NA,NA,"University of Waterloo","ONT District University of Waterloo Event",NA,10,"Double Elimination Bracket (8 Alliances)","N2L 3G1","University of Waterloo","2024-03-21","ON","America/Toronto","https://www.firstroboticscanada.org",3,2024,"ont","FIRST Canada - Ontario","2024ont",179.258094785365
"1091","2024onwin",11.7981677933476,7.06706706706707,"St Denis Centre 2555 College Avenue","Windsor","Canada","2024-03-30","onwin",1,"District","onwin",NA,NA,NA,NA,NA,"University of Windsor","ONT District Windsor Essex Great Lakes Event",NA,10,"Double Elimination Bracket (8 Alliances)","N9B 3P4","Windsor Essex Great Lakes","2024-03-28","ON","America/Toronto","https://www.firstroboticscanada.org",4,2024,"ont","FIRST Canada - Ontario","2024ont",195.809893674553
"1092","2024orore",6.8740738126017,3.28328328328328,"1306 12th Street","Oregon City","USA","2024-03-02","orore",1,"District","orore",NA,NA,NA,NA,NA,"Clackamas Academy","PNW District Clackamas Academy Event",NA,10,"Double Elimination Bracket (8 Alliances)","97045","Clackamas Academy","2024-02-29","OR","America/Los_Angeles","http://www.firstwa.org/",0,2024,"pnw","Pacific Northwest","2024pnw",154.342614185249
"1093","2024orsal",6.73433924561638,3.02302302302302,"2330 - 17th St. NE","Salem","USA","2024-03-09","orsal",1,"District","orsal",NA,NA,NA,NA,NA,"Oregon State Fairgrounds","PNW District Oregon State Fairgrounds Event",NA,10,"Double Elimination Bracket (8 Alliances)","97301","Oregon State Fairgrounds","2024-03-07","OR","America/Los_Angeles","https://firstwa.org/",1,2024,"pnw","Pacific Northwest","2024pnw",186.922086687983
"1094","2024orwil",15.3109206819659,10.03003003003,"6800 SW Wilsonville Road","Wilsonville","USA","2024-03-23","orwil",1,"District","orwil",NA,NA,NA,NA,NA,"Wilsonville High School","PNW District Wilsonville Event",NA,10,"Double Elimination Bracket (8 Alliances)","97070","Wilsonville","2024-03-21","OR","America/Los_Angeles","https://firstwa.org/",3,2024,"pnw","Pacific Northwest","2024pnw",186.62607286438
"1095","2024paben",12.6064779111122,6.96696696696697,"4319 Hulmeville Road","Bensalem","USA","2024-03-24","paben",1,"District","paben",NA,NA,NA,NA,NA,"Bensalem Township High School","FMA District Bensalem Event",NA,10,"Double Elimination Bracket (8 Alliances)","19020","Bensalem","2024-03-22","PA","America/New_York","https://midatlanticrobotics.com/",3,2024,"fma","FIRST Mid-Atlantic","2024fma",179.073774522224
